date,ddr5_16gb,ddr4_16gb,ddr4_8gb,mlc_64gb
"January 15, 2026",34.5,75.545,28.5,7.113
"January 16, 2026",35.0,76.909,28.885,7.113
"January 26, 2026",36.667,78.75,30.9,7.525
"February 02, 2026",38.167,77.705,30.7,16.31
"February 09, 2026",37.833,76.848,30.9,0.0
"February 16, 2026",38.0,25.0,31.1,17.948
"February 23, 2026",38.1,78.409,31.5,8.375
"March 02, 2026",39.167,79.909,32.92,0.0
"March 09, 2026",39.683,77.273,33.3,20.586
"March 16, 2026",39.333,77.227,33.58,20.586
"March 23, 2026",38.667,76.955,34.1,10.275
"March 30, 2026",37.458,74.341,34.0,12.625
"April 06, 2026",37.0,73.091,33.6,13.125
"April 13, 2026",37.1,71.182,33.4,0.0
